date,ticker,weight,universe,method
2021-10-01,UPS,0.05152351766183129,Equity,Max-Sharpe (tangency)
2021-10-01,USB,4.313630805796004e-18,Equity,Max-Sharpe (tangency)
2021-10-01,V,2.585032434745321e-18,Equity,Max-Sharpe (tangency)
2021-10-01,WFC,5.1529012436716495e-18,Equity,Max-Sharpe (tangency)
2021-10-01,WMT,0.0,Equity,Max-Sharpe (tangency)
2021-10-01,XOM,4.7584249335127454e-18,Equity,Max-Sharpe (tangency)
2021-11-01,ABBV,2.528821794260452e-17,Equity,Max-Sharpe (tangency)
2021-11-01,ABT,2.0695302468181284e-17,Equity,Max-Sharpe (tangency)
2021-11-01,ADBE,4.933864985807736e-17,Equity,Max-Sharpe (tangency)
2021-11-01,AEP,1.0508046754820297e-18,Equity,Max-Sharpe (tangency)
2021-11-01,AMD,6.408770202796604e-16,Equity,Max-Sharpe (tangency)
2021-11-01,AMGN,5.453803641413901e-19,Equity,Max-Sharpe (tangency)
2021-11-01,AMT,2.929457256575319e-17,Equity,Max-Sharpe (tangency)
2021-11-01,BA,1.5854884045987655e-18,Equity,Max-Sharpe (tangency)
2021-11-01,CAT,2.8725658866061696e-17,Equity,Max-Sharpe (tangency)
2021-11-01,CCI,2.8246273954502645e-17,Equity,Max-Sharpe (tangency)
2021-11-01,CMCSA,1.591994448524673e-17,Equity,Max-Sharpe (tangency)
2021-11-01,COP,3.204085854834476e-17,Equity,Max-Sharpe (tangency)
2021-11-01,CVX,1.1592910896326538e-17,Equity,Max-Sharpe (tangency)
2021-11-01,D,5.5853025552168516e-18,Equity,Max-Sharpe (tangency)
2021-11-01,DD,1.388368819147786e-17,Equity,Max-Sharpe (tangency)
2021-11-01,DIS,1.4126939624133833e-17,Equity,Max-Sharpe (tangency)
2021-11-01,DOW,1.9915948777322137e-17,Equity,Max-Sharpe (tangency)
2021-11-01,DUK,2.2375894213082736e-17,Equity,Max-Sharpe (tangency)
2021-11-01,EA,2.3544372431434818e-17,Equity,Max-Sharpe (tangency)
2021-11-01,GE,1.9587074325893132e-17,Equity,Max-Sharpe (tangency)
2021-11-01,GILD,9.958248178845766e-18,Equity,Max-Sharpe (tangency)
2021-11-01,GS,6.065617809969393e-17,Equity,Max-Sharpe (tangency)
2021-11-01,INTC,2.4509097258280897e-18,Equity,Max-Sharpe (tangency)
2021-11-01,KO,6.180907639952794e-18,Equity,Max-Sharpe (tangency)
2021-11-01,MMM,6.2342984465775514e-18,Equity,Max-Sharpe (tangency)
2021-11-01,MRK,5.3323279216061e-18,Equity,Max-Sharpe (tangency)
2021-11-01,MS,8.774869176701164e-17,Equity,Max-Sharpe (tangency)
2021-11-01,NEE,2.754173788225763e-17,Equity,Max-Sharpe (tangency)
2021-11-01,NEM,3.0460097976217734e-17,Equity,Max-Sharpe (tangency)
2021-11-01,NKE,5.166700554080122e-17,Equity,Max-Sharpe (tangency)
2021-11-01,NUE,0.16338913200987884,Equity,Max-Sharpe (tangency)
2021-11-01,NVDA,0.5198870252492346,Equity,Max-Sharpe (tangency)
2021-11-01,O,1.233781531503489e-17,Equity,Max-Sharpe (tangency)
2021-11-01,OXY,2.98697877039212e-17,Equity,Max-Sharpe (tangency)
